CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,0,-248225,0,-2.09M,CLOSE,0%
G7S24C103,,PIONEER MERGER CORP,478236,-217101,4.69M,-2.13M,-31.2%,0.71%
G46044106,,HORIZON ACQUISITION CORPORAT,239146,-220253,2.37M,-2.18M,-47.9%,0.36%
G28315102,,DRAGONEER GROWTH OPT CORP II,1506391,-228608,14.76M,-2.24M,-13.2%,2.2%
G1992N100,,CC NEUBERGER PRINCIPAL HOLDN,355698,-230050,3.51M,-2.27M,-39.3%,0.53%
69945Q105,,PARDES BIOSCIENCES INC,851281,-336168,6.15M,-2.43M,-28.3%,0.93%
G0411R106,,APOLLO STRATEGIC GROWTH CAPT,393708,-244310,3.92M,-2.43M,-38.3%,0.6%
26873Y104,,E MERGE TECHNOLOGY ACQUISITI,0,-250000,0,-2.46M,CLOSE,0%
63889L107,,NATURAL ORDER ACQUISITION CO,868737,-252512,8.54M,-2.48M,-22.5%,1.3%
G0633U101,,AUSTERLITZ ACQUISITION CORP,45941,-254059,449K,-2.48M,-84.7%,0.07%
90138P100,,26 CAPITAL ACQUISITION CORP,286814,-256747,2.83M,-2.54M,-47.2%,0.43%
256086109,DCGO,DOCGO INC,839865,-278888,7.77M,-2.58M,-24.9%,1.2%
76155Y108,,REVOLUTION HEALTHCAR AQ CORP,2208929,-269733,21.67M,-2.65M,-10.9%,3.3%
G7008B105,,PERIDOT ACQUISITION CORP II,400498,-282367,3.92M,-2.76M,-41.4%,0.6%
382873107,,GORES METROPOULOS II INC,0,-280123,0,-2.79M,CLOSE,0%
G30092103,,ELLIOTT OPPORTUNITY II CORP,210446,-289547,2.06M,-2.83M,-57.9%,0.31%
G31067104,,SCION TECH GROWTH I,0,-294841,0,-2.88M,CLOSE,0%
26886A101,,EQ HEALTH ACQUISITION CORP,0,-300000,0,-2.91M,CLOSE,0%
G25741102,,CROWN PROPTECH ACQUISITIONS,52495,-297503,519K,-2.94M,-85%,0.08%
G4712C123,,ICONIC SPORTS ACQUISITION CO,0,-294757,0,-2.98M,CLOSE,0%
G2425N105,COOL,CORNER GROWTH ACQUISITION CO,21719,-315823,213K,-3.1M,-93.6%,0.03%
88163VAE9,,TEVA PHARMACEUTICAL FIN LLC,0,-3225000,0,-3.17M,CLOSE,0%
54319Q105,,LONGVIEW ACQUISITION CORP II,137089,-334976,1.34M,-3.27M,-71%,0.2%
G0316P130,ASPC,ALPHA CAPITAL ACQUISITION CO,530508,-335091,5.27M,-3.33M,-38.7%,0.8%
12520C109,,CF ACQUISITION CORP VIII,0,-335000,0,-3.34M,CLOSE,0%
G01109118,,AFTERNEXT HEALTHTECH ACQUISI,0,-350000,0,-3.46M,CLOSE,0%
86309R107,,STRATIM CLOUD ACQUISITION CO,144642,-355356,1.41M,-3.47M,-71.1%,0.21%
G0R21B104,,ARCLIGHT CLEAN TRANSITION II,147475,-352525,1.46M,-3.5M,-70.5%,0.22%
G28553108,,DUDDELL STREET ACQUISITN COR,0,-383867,0,-3.81M,CLOSE,0%
89601Y101,,TRIBE CAPITAL GROWTH CORP I,307050,-392942,3M,-3.84M,-56.1%,0.46%
G1355V103,,BRIDGETOWN 2 HOLDINGS LTD,0,-407211,0,-4.04M,CLOSE,0%
08954L102,,BIG SKY GROWTH PARTNERS INC,334701,-415299,3.25M,-4.04M,-55.4%,0.49%
44376L107,,HUDSON EXECUTIVE INVES III,252966,-433744,2.47M,-4.24M,-63.2%,0.38%
29248N100,,EMPOWERMENT & INCLUSION CAPI,0,-435984,0,-4.25M,CLOSE,0%
G7823W102,,SARISSA CAPITAL ACQUISITN CO,317876,-429163,3.15M,-4.25M,-57.4%,0.48%
242794105,,DECARBONIZATION PLUS ACQU II,0,-455600,0,-4.54M,CLOSE,0%
G24237102,,CORAZON CAPITAL V838 MONOCER,567226,-471669,5.55M,-4.61M,-45.4%,0.84%
84677R106,SPAQ,SPARTAN ACQUISITION CORP III,0,-474098,0,-4.68M,CLOSE,0%
81786A107,VII,7GC & CO HOLDINGS INC,78056,-480290,765K,-4.71M,-86%,0.12%
62752R100,,THE MUSIC ACQUISITION CORP,0,-514996,0,-5.03M,CLOSE,0%
64823D201,,NEW PROVIDENCE ACQSITN CORP,0,-500000,0,-5.06M,CLOSE,0%
33765Y101,FMAC,FIRSTMARK HORIZON ACQUISITIO,0,-517260,0,-5.12M,CLOSE,0%
G76088106,,RMG ACQUISITION CORP III,0,-546614,0,-5.34M,CLOSE,0%
G8210L105,,SLAM CORP,0,-653423,0,-6.35M,CLOSE,0%
13057Q305,CRC,CALIFORNIA RES CORP,0,-149999,0,-6.41M,CLOSE,0%
