"CIK","Fund","Manager","Denomination","CIKs","URL"
"0001910456","Lynx1","Weston Nichols","Lynx1 Capital Management LP","","https://lynxcap.com/"
"0001352851","Magnetar Capital","Alec Litowitz","Magnetar Financial LLC","","https://www.magnetar.com/"
"0001535392","Mangrove Partners","Nathaniel August","Mangrove Partners IM, LLC","","https://mangrovepartners.com/"
"0001512173","Maplelane Capital","Leon Shaulov","Maplelane Capital, LLC","","https://www.maplecapital.com/"
"0001572748","Marathon Trading","Peter James Viscardo","Marathon Trading Investment Management LLC","","https://www.linkedin.com/company/marathon-trading/"
"0001997464","Marex Group","Ian Lowitt","Marex Group plc","","https://www.marex.com/"
"0000860176","Mark Asset Management","Mark Morris","Mark Asset Management Corp","","https://www.markasset.com/"
"0001016287","Matrix Asset Advisors","David Katz","Matrix Asset Advisors Inc/NY","","https://matrixassetadvisors.com/"
"0001410830","Matrix Capital Management","David Goel","Matrix Capital Management Company, LP","","https://www.linkedin.com/company/matrix-capital-management-llc"
"0001731134","MayTech Global","Nels Wangensteen & Ingrid Yin","MayTech Global Investments, LLC","","https://www.maytechglobal.com/"
"0002090468","Meadowbrook Wealth Management","Thomas Efthimiou","Meadowbrook Wealth Management, LLC","","http://www.meadowbrookwealth.com/"
"0002077080","Midwest Trust","Bradley Bergman","Midwest Trust Co","","https://www.midwesttrust.com/"
"0001569395","Mirae Asset Global Investments","Hyeon Joo Park","Mirae Asset Global Investments Co., Ltd.","","https://investments.miraeasset.eu/"
"0001352272","Miura","Francisco Alfaro","Miura Global Management, LLC","","https://miura.partners/en/"
"0000812291","Mizuho USA","Jerry Rizzieri","Mizuho Securities USA LLC","","https://www.mizuhogroup.com/securities"
"0000938592","Moody, Lynn, Lieberson & Walker","Michael Moody & Martin Lynn","Moody Lynn & Lieberson, LLC","","https://moodylynn.com/"
"0001016150","Morgens Waterfall","Edwin Morgens","Morgens Waterfall Vintiadis & Co Inc","","https://morgenswaterfall.com/"
"0002055557","Mountain Hill Investment Partners","Andy Kaiser","Mountain Hill Investment Partners Corp.","","https://mhipartners.com/"
"0001589689","MYDA Advisors","Jason Lieber","MYDA Advisors LLC","","https://mydacapital.com/"
"0001846677","Nellore Capital Management","Sakya Duvvuru","Nellore Capital Management LLC","","https://www.linkedin.com/company/nellore-capital-management/"
"0001389875","Newbrook Capital Advisors","Robert Boucai","Newbrook Capital Advisors LP","","https://newbrookcapital.com/"
"0001595430","Nextech Invest","Alexis Borisy","Nextech Invest, Ltd.","","https://www.nextechinvest.com/"
