CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
05534B760,BCE,BCE INC,80907,73700,1.74M,1.59M,+1022.6%,0.02%
00827B106,AFRM,AFFIRM HLDGS INC,24289,19118,1.98M,1.56M,+369.7%,0.02%
12503M108,CBOE,CBOE GLOBAL MKTS INC,26798,6340,6.5M,1.54M,+31%,0.07%
21036P108,STZ,CONSTELLATION BRANDS INC,75121,10930,10.45M,1.52M,+17%,0.11%
Q4982L109,IREN,IREN LIMITED,30923,30923,1.41M,1.41M,NEW,0.01%
02079K305,GOOGL,ALPHABET INC,1078574,3942,385.42M,1.41M,+0.4%,4%
14040H105,COF,CAPITAL ONE FINL CORP,86210,6977,17.29M,1.4M,+8.8%,0.18%
G9723Y105,WSE,WISE GROUP PLC,116432,116432,1.4M,1.4M,NEW,0.01%
526057104,LEN,LENNAR CORP,15170,15170,1.37M,1.37M,NEW,0.01%
934423104,WBD,WARNER BROS DISCOVERY INC,302354,51270,8.06M,1.37M,+20.4%,0.08%
N5505D105,MICC,MAGNUM ICE CREAM CO NV,90308,76699,1.57M,1.34M,+563.6%,0.02%
351858105,FNV,FRANCO NEV CORP,6200,6200,1.29M,1.29M,NEW,0.01%
036752103,ELV,ELEVANCE HEALTH INC FORMERLY,29139,3331,11.27M,1.29M,+12.9%,0.12%
74743L100,Q,QNITY ELECTRONICS INC,7843,7843,1.28M,1.28M,NEW,0.01%
655663102,NDSN,NORDSON CORP,5565,4160,1.68M,1.25M,+296.1%,0.02%
00508Y102,AYI,ACUITY INC,100996,3248,38.04M,1.22M,+3.3%,0.39%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,4605,4605,1.18M,1.18M,NEW,0.01%
49446R109,KIM,KIMCO REALTY CORP,77066,45831,1.95M,1.16M,+146.7%,0.02%
16119P108,CHTR,CHARTER COMMUNICATIONS INC,16530,7755,2.35M,1.1M,+88.4%,0.02%
30161N101,EXC,EXELON CORP,299287,22366,13.95M,1.04M,+8.1%,0.14%
03831W108,APP,APPLOVIN CORP,25108,2017,12.94M,1.04M,+8.7%,0.13%
