CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
M84137104,SMWB,SimilarWeb Ltd,356572,-38918,2.34M,-255.3K,-9.8%,0.02%
G5074S101,2618.HK,JD Logistics Inc,3729526,-164900,5.82M,-257.14K,-4.2%,0.04%
911312106,UPS,United Parcel Service Inc,11137,-1497,2M,-268.34K,-11.8%,0.01%
F9156M108,HO.PA,Thales SA,41492,-1836,6.22M,-275.02K,-4.2%,0.04%
M81873107,RDWR,Radware Ltd,96254,-14735,1.87M,-285.71K,-13.3%,0.01%
653656108,NICE,Nice Ltd,9631,-1406,1.99M,-290.34K,-12.7%,0.01%
M4R82T106,FVRR,Fiverr International Ltd,56754,-11190,1.48M,-291.05K,-16.5%,<.01%
40131M109,GH,Guardant Health Inc,574995,-8260,20.58M,-295.71K,-1.4%,0.14%
023135106,AMZN,Amazon.com Inc,55166,-2448,7.19M,-319.12K,-4.2%,0.05%
M7516K103,NVMI,Nova Ltd,22038,-2884,2.59M,-338.29K,-11.6%,0.02%
615394202,MOGA,Moog Inc,21815,-3189,2.37M,-345.78K,-12.8%,0.02%
M2682V108,CYBR,CyberArk Software Ltd,15566,-2418,2.43M,-378.01K,-13.4%,0.02%
M98068105,WIX,Wix.com Ltd,22331,-4965,1.75M,-388.46K,-18.2%,0.01%
M5425M103,INMD,Inmode Ltd,55138,-10964,2.06M,-409.51K,-16.6%,0.01%
25058X105,,Desktop Metal Inc,3076811,-251335,5.45M,-444.86K,-7.6%,0.04%
M97628107,,WalkMe Ltd,188561,-49128,1.81M,-471.63K,-20.7%,0.01%
192005106,CDXS,Codexis Inc,4124339,-171247,11.55M,-479.49K,-4%,0.08%
502431109,LHX,L3Harris Technologies Inc,69100,-3066,13.53M,-600.23K,-4.2%,0.09%
M7S64H106,MNDY,Monday.com Ltd,15658,-3779,2.68M,-647.04K,-19.4%,0.02%
00214Q500,PRNT,The 3D Printing ETF,670384,-29712,15.73M,-697.04K,-4.2%,0.1%
717081103,PFE,Pfizer Inc,465601,-19189,17.08M,-703.85K,-4%,0.11%
M96088105,URGN,UroGen Pharma Ltd,201918,-68828,2.09M,-712.37K,-25.4%,0.01%
02079K107,GOOG,Alphabet Inc,233254,-5906,28.22M,-714.45K,-2.5%,0.19%
60770K107,MRNA,Moderna Inc,142998,-5908,17.37M,-717.82K,-4%,0.12%
