CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02376R102,AAL,AMERICAN AIRLS GROUP INC,0,-89102,0,-1.31M,CLOSE,0%
744320102,PRU,PRUDENTIAL FINL INC,0,-16029,0,-1.33M,CLOSE,0%
888787108,TOST,TOAST INC,11542,-59250,260.5K,-1.34M,-83.7%,<.01%
25460G260,TSLS,DIREXION SHS ETF TR,23952,-69276,470.66K,-1.36M,-74.3%,0.02%
90138F102,TWLO,TWILIO INC,0,-20532,0,-1.37M,CLOSE,0%
74767V109,QS,QUANTUMSCAPE CORP,0,-171487,0,-1.4M,CLOSE,0%
902973304,USB,US BANCORP DEL,0,-39014,0,-1.41M,CLOSE,0%
46137V886,PSL,INVESCO EXCHANGE TRADED FD T,0,-16536,0,-1.42M,CLOSE,0%
517834107,LVS,LAS VEGAS SANDS CORP,0,-25038,0,-1.44M,CLOSE,0%
74347Y813,KOLD,PROSHARES TR II,15294,-26071,848.05K,-1.45M,-63%,0.03%
573874104,MRVL,MARVELL TECHNOLOGY INC,44068,-24785,2.63M,-1.48M,-36%,0.09%
92891H101,SVIX,VS TRUST,89679,-53594,2.52M,-1.5M,-37.4%,0.08%
26614N102,DD,DUPONT DE NEMOURS INC,0,-20973,0,-1.51M,CLOSE,0%
74347R214,BIB,PROSHARES TR,14247,-29997,741.13K,-1.56M,-67.8%,0.02%
08862E109,BYND,BEYOND MEAT INC,0,-96811,0,-1.57M,CLOSE,0%
780259305,SHEL,SHELL PLC,0,-27819,0,-1.6M,CLOSE,0%
02156B103,AYX,ALTERYX INC,0,-27314,0,-1.61M,CLOSE,0%
013872106,AA,ALCOA CORP,0,-37971,0,-1.62M,CLOSE,0%
74347R735,RXL,PROSHARES TR,0,-19011,0,-1.62M,CLOSE,0%
81369Y407,XLY,SELECT SECTOR SPDR TR,0,-11097,0,-1.66M,CLOSE,0%
291011104,EMR,EMERSON ELEC CO,0,-19057,0,-1.66M,CLOSE,0%
500767306,KWEB,KRANESHARES TR,193778,-63584,5.22M,-1.71M,-24.7%,0.17%
983134107,WYNN,WYNN RESORTS LTD,0,-15382,0,-1.72M,CLOSE,0%
30212P303,EXPE,EXPEDIA GROUP INC,0,-17913,0,-1.74M,CLOSE,0%
74347W353,AGQ,PROSHARES TR II,0,-56736,0,-1.77M,CLOSE,0%
549498103,LCID,LUCID GROUP INC,0,-222911,0,-1.79M,CLOSE,0%
23804L103,DDOG,DATADOG INC,0,-25681,0,-1.87M,CLOSE,0%
36467W109,GME,GAMESTOP CORP NEW,0,-82798,0,-1.91M,CLOSE,0%
